date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:55	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:23:55%20GMT	https://ajdethemes.com/adri	E:/templates/1/Adri%20cons/ajdethemes.com/adri.0.delayed	(from )
12:23:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:23:56%20GMT	https://ajdethemes.com/adri/	E:/templates/1/Adri%20cons/ajdethemes.com/adri/index.html	(from )
12:23:56	50/50	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Feb%202021%2009:23:56%20GMT	https://ajdethemes.com/robots.txt		(from )
12:23:56	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:23:56%20GMT	https://ajdethemes.com/adri-landing	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing	(from https://ajdethemes.com/adri/)
12:23:56	13027/13027	---MCZ	200	added ('OK')	text/html	etag:W/%2232e3-5b5a8f1c046b2%22	https://ajdethemes.com/adri-landing/	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/index.html	(from https://ajdethemes.com/adri/)
12:23:56	3882/3882	---MCZ	200	added ('OK')	text/css	etag:W/%225f6a1bf8-f2a%22	https://ajdethemes.com/adri-landing/assets/css/vendors/bootstrap-reboot.min.css	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/css/vendors/bootstrap-reboot.min.css	(from https://ajdethemes.com/adri-landing/)
12:23:57	50892/50892	---MCZ	200	added ('OK')	text/css	etag:W/%225f6a1bf8-c6cc%22	https://ajdethemes.com/adri-landing/assets/css/vendors/bootstrap-grid.min.css	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/css/vendors/bootstrap-grid.min.css	(from https://ajdethemes.com/adri-landing/)
12:23:57	57503/57503	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-e09f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/fontawesome.min.css	E:/templates/1/Adri%20cons/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/fontawesome.min.css	(from https://ajdethemes.com/adri-landing/)
12:23:57	669/669	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-29d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/solid.min.css	E:/templates/1/Adri%20cons/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/solid.min.css	(from https://ajdethemes.com/adri-landing/)
12:23:58	5249/5249	---MCZ	200	added ('OK')	text/css	etag:W/%225f6a1be6-1481%22	https://ajdethemes.com/adri-landing/assets/css/style.css	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/css/style.css	(from https://ajdethemes.com/adri-landing/)
12:23:58	93376/93376	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2024%20Feb%202021%2009:23:58%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/templates/1/Adri%20cons/connect.facebook.net/en_US/fbevents.js	(from https://ajdethemes.com/adri-landing/)
12:24:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:24:01%20GMT	https://ajdethemes.com/adri/impact	E:/templates/1/Adri%20cons/ajdethemes.com/adri/impact	(from https://ajdethemes.com/adri-landing/)
12:24:01	2253/2253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f6a1be7-8cd%22	https://ajdethemes.com/adri-landing/assets/images/adri-consulting-wordpress-theme.svg	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/images/adri-consulting-wordpress-theme.svg	(from https://ajdethemes.com/adri-landing/)
12:24:01	140394/140394	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Feb%202021%2009:24:01%20GMT	https://ajdethemes.com/adri/impact/	E:/templates/1/Adri%20cons/ajdethemes.com/adri/impact/index.html	(from https://ajdethemes.com/adri-landing/)
12:24:02	123566/123566	---M--	200	added ('OK')	image/jpeg	etag:%225f6a1bf8-1e2ae%22	https://ajdethemes.com/adri-landing/assets/images/demos/01-demo.jpg	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/images/demos/01-demo.jpg	(from https://ajdethemes.com/adri-landing/)
12:24:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:24:02%20GMT	https://ajdethemes.com/adri/sass	E:/templates/1/Adri%20cons/ajdethemes.com/adri/sass	(from https://ajdethemes.com/adri-landing/)
12:24:02	131870/131870	---M--	200	added ('OK')	image/jpeg	etag:%225f6a1bf9-2031e%22	https://ajdethemes.com/adri-landing/assets/images/demos/02-demo.jpg	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/images/demos/02-demo.jpg	(from https://ajdethemes.com/adri-landing/)
12:24:02	108002/108002	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Feb%202021%2009:24:03%20GMT	https://ajdethemes.com/adri/sass/	E:/templates/1/Adri%20cons/ajdethemes.com/adri/sass/index.html	(from https://ajdethemes.com/adri-landing/)
12:24:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:24:03%20GMT	https://ajdethemes.com/adri/royal	E:/templates/1/Adri%20cons/ajdethemes.com/adri/royal	(from https://ajdethemes.com/adri-landing/)
12:24:03	100177/100177	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Feb%202021%2009:24:03%20GMT	https://ajdethemes.com/adri/royal/	E:/templates/1/Adri%20cons/ajdethemes.com/adri/royal/index.html	(from https://ajdethemes.com/adri-landing/)
12:24:03	142425/142425	---M--	200	added ('OK')	image/jpeg	etag:%225f6a1bf9-22c59%22	https://ajdethemes.com/adri-landing/assets/images/demos/03-demo.jpg	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/images/demos/03-demo.jpg	(from https://ajdethemes.com/adri-landing/)
12:24:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:24:04%20GMT	https://ajdethemes.com/adri/mint	E:/templates/1/Adri%20cons/ajdethemes.com/adri/mint	(from https://ajdethemes.com/adri-landing/)
12:24:04	101219/101219	---M--	200	added ('OK')	image/jpeg	etag:%225f6a1bf9-18b63%22	https://ajdethemes.com/adri-landing/assets/images/demos/04-demo.jpg	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/images/demos/04-demo.jpg	(from https://ajdethemes.com/adri-landing/)
12:24:05	85641/85641	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Feb%202021%2009:24:04%20GMT	https://ajdethemes.com/adri/mint/	E:/templates/1/Adri%20cons/ajdethemes.com/adri/mint/index.html	(from https://ajdethemes.com/adri-landing/)
12:24:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Feb%202021%2009:24:05%20GMT	https://ajdethemes.com/adri/energy	E:/templates/1/Adri%20cons/ajdethemes.com/adri/energy	(from https://ajdethemes.com/adri-landing/)
12:24:05	112023/112023	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Feb%202021%2009:24:06%20GMT	https://ajdethemes.com/adri/energy/	E:/templates/1/Adri%20cons/ajdethemes.com/adri/energy/index.html	(from https://ajdethemes.com/adri-landing/)
12:24:06	110702/110702	---M--	200	added ('OK')	image/jpeg	etag:%225f6a1bfa-1b06e%22	https://ajdethemes.com/adri-landing/assets/images/demos/05-demo.jpg	E:/templates/1/Adri%20cons/ajdethemes.com/adri-landing/assets/images/demos/05-demo.jpg	(from https://ajdethemes.com/adri-landing/)
